MEAN_X,MEAN_Y,ID,Climate _Zone
79.42142424,11.80690807,662,3
82.96720811,20.28979902,1333,3
74.65835327,34.16820558,93,8
78.96285058,9.990793634,1517,3
74.3871409,34.50027063,1073,18
76.69920923,8.878710842,1602,2
87.88687153,25.4136945,780,3
76.756735,30.76591648,1705,11
78.6830489,30.6340375,1641,12
87.15116958,23.66124454,1924,11
80.23898869,12.96660001,347,3
85.53972391,23.80441033,1102,11
78.08845673,32.4266472,1879,26
78.08195375,32.42277451,1878,26
77.17747926,34.49544223,1820,5
87.0809532,23.40782717,18,3
77.55084216,12.90250032,192,3
76.46702689,29.31220414,118,6
78.87904881,17.49051279,515,6
78.37175664,33.7770799,1883,5
74.8423485,34.11559604,773,14
79.19331678,11.06805762,1291,3
88.31937264,25.62201094,1767,11
75.82026952,22.70021067,404,3
79.75885834,29.20503136,1683,12
78.38315803,33.79448564,1884,5
78.27407348,33.75313025,1885,5
75.10613364,15.37863209,48,6
76.70664257,8.778841957,1709,2
77.54753715,32.49809211,445,18
78.51639299,33.81886411,1882,5
78.5343675,33.69028138,1881,5
85.58370372,23.16236076,1125,11
77.85473321,35.06081409,1360,5
87.58314869,22.94103953,1127,3
88.89062225,25.32659138,1123,3
77.14984558,20.47502511,1305,3
79.03682057,25.01477211,227,11
75.80800898,22.69800513,405,3
82.37961832,22.40149921,1448,11
79.18101487,17.71571387,1571,6
80.24096501,12.99594206,173,3
76.67681433,8.847718722,1653,2
76.67659688,8.846983417,1654,2
85.36538877,24.01293346,335,11
76.67723305,8.848250129,1652,2
76.6786474,8.850122155,1657,2
76.67723274,8.8472594,1655,2
76.67593959,8.847527643,1656,2
80.17799496,12.94936972,113,3
77.60469436,12.87035721,137,3
78.76437609,17.37704938,2043,6
78.85158963,9.30162935,653,3
75.86093126,13.15558492,414,3
75.32779168,34.2361089,1061,25
82.63709341,25.63015756,556,11
87.89038148,25.93884257,1041,11
87.89164061,25.9367826,1040,11
76.37822756,9.489441863,350,2
73.96329308,24.26436952,27,6
81.35405036,21.29569929,893,11
81.35957614,21.28673264,894,11
81.38611363,21.27739633,895,11
85.46884227,23.79684604,1103,11
80.21122124,12.98798472,144,3
85.47464943,23.75243707,1104,11
80.144146,12.82444652,744,3
69.09954206,22.45306268,1210,4
78.33795199,34.00038844,412,5
79.07297843,9.917696734,1365,3
79.07435362,9.925392072,1364,3
79.07791065,9.932243715,1363,3
81.65380192,21.24728606,439,11
80.09752078,13.01346923,400,3
70.74701147,22.88090371,1096,6
76.64158851,18.18766296,231,3
74.7403394,33.51980689,1682,11
86.28824814,24.18758621,622,11
76.58031359,12.1725437,1937,3
84.56443207,24.64625048,561,11
74.93340117,30.23533295,272,4
79.2006625,10.02462854,62,3
79.25207094,11.94325995,471,3
75.9210169,14.60506668,1955,6
76.40304778,12.19976406,1936,3
87.59874149,25.55342488,753,11
80.56848094,17.0555313,284,3
78.25420691,31.26081134,2031,12
74.93129583,30.24040307,271,4
86.57955269,25.53389577,1009,11
85.65640333,26.80787115,1506,11
81.65859145,21.23850965,438,11
77.31408671,33.34710211,1626,7
77.78262571,18.56390901,277,3
74.93020438,30.24589405,273,4
77.38283833,16.55875511,12,6
72.9130609,20.1739031,507,3
78.3333517,17.44856083,536,3
75.18998814,12.04671116,851,2
78.70133338,32.70515588,386,5
78.76136127,32.74475797,385,5
79.05651523,9.914506452,1366,3
76.60930518,13.1581945,1298,3
76.34627885,32.34513018,1541,11
86.21478338,23.7773915,1949,11
76.8135267,34.58708359,1872,5
77.17583615,35.26547801,650,5
72.72106777,23.45395302,1385,6
79.28701897,11.88284937,474,3
78.72622728,32.73568508,388,5
78.69810114,32.70453869,387,5
78.75733024,9.27522562,950,3
77.67001046,25.41842148,363,11
82.94024184,24.7170123,996,11
79.61191611,17.99357732,1459,3
74.26508487,16.67938618,279,6
75.94927675,10.75827152,57,2
74.3946356,34.48461561,1074,18
80.37457006,25.35810961,1644,11
