MEAN_X,MEAN_Y,ID,Climate _Zone,Lake_Class,Average Increase in temperature,P value
87.0809532,23.40782717,18,3,2,-0.067731428,0.355570138
77.55084216,12.90250032,192,3,2,0.027780254,0.72254081
76.46702689,29.31220414,118,6,2,0.1460928,0.229137945
78.87904881,17.49051279,515,6,2,-0.043234295,0.733116396
78.37175664,33.7770799,1883,5,2,-0.024039026,0.850272897
74.8423485,34.11559604,773,14,1,0.121164765,0.399951457
79.19331678,11.06805762,1291,3,3,-0.193144395,0.142656035
88.31937264,25.62201094,1767,11,2,0.085956077,0.416715223
75.82026952,22.70021067,404,3,2,0.011006309,0.908073349
79.75885834,29.20503136,1683,12,2,-0.07524083,0.494333996
78.38315803,33.79448564,1884,5,2,0.015877447,0.882439428
78.27407348,33.75313025,1885,5,2,-0.242500162,0.38386276
75.10613364,15.37863209,48,6,2,0.009862408,0.906565463
76.70664257,8.778841957,1709,2,1,-0.119869709,0.463629262
77.54753715,32.49809211,445,18,2,-0.102273031,0.472911128
78.51639299,33.81886411,1882,5,2,-0.712019003,0.0275922
78.5343675,33.69028138,1881,5,2,-0.523285468,0.067744594
85.58370372,23.16236076,1125,11,2,-0.010742679,0.901525668
77.85473321,35.06081409,1360,5,2,-0.120707398,0.693468652
87.58314869,22.94103953,1127,3,2,-0.067180915,0.524639632
88.89062225,25.32659138,1123,3,2,0.065898028,0.466264558
77.14984558,20.47502511,1305,3,2,-0.095343461,0.238075557
79.03682057,25.01477211,227,11,2,-0.045791182,0.505910255
75.80800898,22.69800513,405,3,2,-0.054140536,0.537481099
82.37961832,22.40149921,1448,11,2,-0.093756194,0.294791774
79.18101487,17.71571387,1571,6,2,-0.152287513,0.157632871
80.24096501,12.99594206,173,3,2,-0.045547823,0.693523337
76.67681433,8.847718722,1653,2,2,-0.104074996,0.253791252
76.67659688,8.846983417,1654,2,2,-0.088883098,0.334261056
85.36538877,24.01293346,335,11,2,0.134520177,0.045705857
76.67723305,8.848250129,1652,2,2,-0.201139174,0.115964991
76.6786474,8.850122155,1657,2,2,-0.293902793,0.058756914
76.67723274,8.8472594,1655,2,2,-0.01474773,0.875308263
76.67593959,8.847527643,1656,2,2,-0.09058245,0.357462794
80.17799496,12.94936972,113,3,2,-0.000983071,0.990502746
77.60469436,12.87035721,137,3,2,0.165186344,0.120500636
78.76437609,17.37704938,2043,6,2,-0.017759314,0.88654334
78.85158963,9.30162935,653,3,2,0.00137241,0.992138769
75.86093126,13.15558492,414,3,2,-0.216355936,0.013446915
75.32779168,34.2361089,1061,25,2,-0.517393481,0.053172915
